State,District,Confirmed,Recovered,Deceased,Zone,Age Bracket,Transmission Type,Population Density,Transmission rate,Deceased Rate,Predictions
Tamil Nadu,Tirupathur,7464,7275,125,Orange Zone,Children or adolescent,Local,201,Normal,0,0
Tamil Nadu,Tiruppur,17144,16633,219,Red Zone,Children or adolescent,Local,201,High,0,1
Tamil Nadu,Tiruvannamalai,19169,18818,282,Orange Zone,Children or adolescent,Local,201,High,1,1
Tamil Nadu,Vellore,20266,19741,340,Red Zone,Children or adolescent,Local,201,High,1,1
Tamil Nadu,Viluppuram,15023,14804,110,Orange Zone,Children or adolescent,Local,201,High,0,1
Tamil Nadu,Virudhunagar,16364,16038,229,Red Zone,Children or adolescent,Local,201,High,0,1
Tripura,North Tripura,2755,2721,16,Orange Zone,Children or adolescent,Local,189,Normal,0,0
Uttar Pradesh,Agra,10273,9944,170,Red Zone,Children or adolescent,Local,187,Normal,0,1
Uttar Pradesh,Amroha,4247,4133,50,Red Zone,Senior Citizens,Local,187,Normal,0,2
Uttar Pradesh,Baghpat,2291,2212,34,Orange Zone,Children or adolescent,Imported,187,Normal,0,3
Uttar Pradesh,Gautam Buddha Nagar,24992,24516,90,Red Zone,Children or adolescent,Local,187,High,0,1
Uttar Pradesh,Ghaziabad,26140,25597,102,Orange Zone,Children or adolescent,Local,187,High,0,1
Uttar Pradesh,Jaunpur,6596,6334,97,Orange Zone,Children or adolescent,Imported,187,Normal,0,3
Uttar Pradesh,Lucknow,78759,75007,1114,Red Zone,Children or adolescent,Local,187,Very High,4,1
Uttar Pradesh,Meerut,21811,20450,429,Red Zone,Children or adolescent,Local,187,High,1,1
Uttar Pradesh,Moradabad,11701,11239,177,Red Zone,Children or adolescent,Imported,187,Normal,0,3
Uttar Pradesh,Pilibhit,4151,4009,77,Orange Zone,Senior Citizens,Local,187,Normal,0,2
Uttar Pradesh,Varanasi,22652,21596,438,Red Zone,Children or adolescent,Imported,187,High,1,3
Uttarakhand,Almora,3072,2777,24,Green Zone,Children or adolescent,Local,239,Normal,0,0
Uttarakhand,Champawat,1735,1545,8,Green Zone,Children or adolescent,Local,239,Normal,0,0
Uttarakhand,Dehradun,27397,24738,848,Orange Zone,Senior Citizens,Local,239,High,3,2
Uttarakhand,Haridwar,13413,12764,147,Red Zone,Senior Citizens,Local,239,High,0,2
Uttarakhand,Nainital,11411,10207,209,Orange Zone,Children or adolescent,Local,239,Normal,0,0
Uttarakhand,Pauri Garhwal,5007,4764,57,Orange Zone,Children or adolescent,Local,239,Normal,0,0
Uttarakhand,Pithoragarh,3229,2796,38,Green Zone,Children or adolescent,Local,239,Normal,0,0
Uttarakhand,Tehri Garhwal,4126,3742,16,Orange Zone,Children or adolescent,Local,239,Normal,0,0
Uttarakhand,Udham Singh Nagar,11127,10724,109,Orange Zone,Children or adolescent,Local,239,Normal,0,0
Uttarakhand,Uttarkashi,3675,3315,16,Orange Zone,Senior Citizens,Local,239,Normal,0,2
West Bengal,Howrah,34722,33108,1009,Red Zone,Children or adolescent,Local,194,High,4,1
West Bengal,Kalimpong,2173,2102,24,Red Zone,Children or adolescent,Imported,194,Normal,0,3
West Bengal,Kolkata,123816,118303,2964,Red Zone,Children or adolescent,Local,194,Very High,11,1
West Bengal,Nadia,21782,20874,291,Orange Zone,Children or adolescent,Local,194,High,1,1
West Bengal,North 24 Parganas,117180,112891,2351,Orange Zone,Senior Citizens,Local,194,Very High,9,2
West Bengal,Purba Medinipur,20162,19410,273,Orange Zone,Senior Citizens,Local,194,High,1,2
Maharashtra,Beed,17131,16296,523,Orange Zone,Adult,Local,117,High,2,2
Maharashtra,Bhandara,12789,12032,275,Orange Zone,Adult,Local,139,Normal,1,0
Maharashtra,Chandrapur,23305,22318,392,Orange Zone,Children or adolescent,Local,72,High,1,1
Maharashtra,Gadchiroli,8571,8265,92,Orange Zone,Adult,Local,158,Normal,0,0
Maharashtra,Palghar,46087,45623,911,Orange Zone,Senior Citizens,Local,679,High,3,2
Maharashtra,Sangli,50185,48095,1769,Red Zone,Adult,Local,80,High,7,1
Madhya Pradesh,Mandla,1196,1158,10,Red Zone,Children or adolescent,Local,16,Normal,0,1
Madhya Pradesh,Rewa,3874,3711,33,Red Zone,Adult,Local,16,Normal,0,1
Madhya Pradesh,Narsinghpur,3427,3333,28,Green Zone,Adult,Local,6,Normal,0,0
Madhya Pradesh,Guna,1461,1383,26,Orange Zone,Adult,Local,10,Normal,0,0
Madhya Pradesh,Shivpuri,3512,3426,29,Orange Zone,Children or adolescent,Local,20,Normal,0,0
Madhya Pradesh,Balaghat,3036,2936,14,Red Zone,Children or adolescent,Local,37,Normal,0,1
