State,District,Confirmed,Recovered,Deceased,Zone,Age Bracket,Transmission Type,Population Density,Predictions
Uttar Pradesh,Ghaziabad,26140,25597,102,1,2,1,187,4
Uttar Pradesh,Jaunpur,6596,6334,97,1,2,0,187,3
Uttar Pradesh,Lucknow,78759,75007,1114,0,2,1,187,0
Uttar Pradesh,Meerut,21811,20450,429,0,2,1,187,0
Uttar Pradesh,Moradabad,11701,11239,177,0,2,0,187,3
Uttar Pradesh,Pilibhit,4151,4009,77,1,0,1,187,5
Uttar Pradesh,Varanasi,22652,21596,438,0,2,0,187,3
Uttarakhand,Almora,3072,2777,24,2,2,1,239,1
Uttarakhand,Champawat,1735,1545,8,2,2,1,239,1
Uttarakhand,Dehradun,27397,24738,848,1,0,1,239,5
Uttarakhand,Haridwar,13413,12764,147,0,0,1,239,2
Uttarakhand,Nainital,11411,10207,209,1,2,1,239,4
Uttarakhand,Pauri Garhwal,5007,4764,57,1,2,1,239,4
Uttarakhand,Pithoragarh,3229,2796,38,2,2,1,239,1
Uttarakhand,Tehri Garhwal,4126,3742,16,1,2,1,239,4
Uttarakhand,Udham Singh Nagar,11127,10724,109,1,2,1,239,4
Uttarakhand,Uttarkashi,3675,3315,16,1,0,1,239,5
West Bengal,Howrah,34722,33108,1009,0,2,1,194,0
West Bengal,Kalimpong,2173,2102,24,0,2,0,194,3
West Bengal,Kolkata,123816,118303,2964,0,2,1,194,0
West Bengal,Nadia,21782,20874,291,1,2,1,194,4
West Bengal,North 24 Parganas,117180,112891,2351,1,0,1,194,5
West Bengal,Purba Medinipur,20162,19410,273,1,0,1,194,5
